CONS_NO,FLAG,user_score,pred_interval_start,pred_interval_end,interval_confidence,att_m01,att_m02,att_m03,att_m04,att_m05,att_m06,att_m07,att_m08,att_m09,att_m10,att_m11,att_m12,att_m13,att_m14,att_m15,att_m16,att_m17,att_m18,att_m19,att_m20,att_m21,att_m22,att_m23,att_m24,att_m25,att_m26,att_m27,att_m28,att_m29,att_m30,att_m31,att_m32,att_m33,att_m34
0387DD8A07E07FDA6271170F86AD9151,1,0.9758552,10,11,0.4863826781511307,9.316126e-05,0.0003574824,9.522983e-05,9.4083836e-05,0.00012411809,0.00024916805,0.0007129178,0.001306626,0.00024199615,0.014974478,0.560894,0.41187134,0.0031078095,0.004014925,0.00042856572,0.00017242086,0.00016219389,0.00013090906,8.814689e-05,4.7642872e-05,4.1257506e-05,4.7568778e-05,5.5873385e-05,6.112212e-05,5.8473946e-05,7.900464e-05,7.045876e-05,6.9094844e-05,7.44515e-05,8.771652e-05,0.00012641218,2.9785046e-05,7.087507e-06,2.44946e-05
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,0.9580713,31,33,0.2508723735809326,0.005713029,0.006131448,0.006322607,0.0073066778,0.0084538,0.008170116,0.007402472,0.005956508,0.0060435943,0.0057470375,0.005782418,0.005730808,0.004436676,0.003247437,0.003927859,0.0036445193,0.0044933856,0.004980486,0.00522174,0.0072318143,0.00543757,0.0057585393,0.0075862925,0.010878317,0.010088967,0.008425219,0.017206356,0.012520788,0.013200134,0.02095216,0.01938415,0.13110696,0.083875075,0.5376351
4B75AC4F2D8434CFF62DB64D0BB43103,1,0.8928275,24,32,0.09356611511773533,0.0032259426,0.006762653,0.00089392124,0.007960939,0.0032039809,0.0035947927,0.0033694883,0.0015642425,0.0012163759,0.0016017819,0.0030572044,0.001601992,0.0033074284,0.0014976525,0.0014547509,0.004363475,0.0022809126,0.0035447862,0.017579412,0.0362135,0.008728724,0.0051753046,0.00394772,0.02684765,0.20737606,0.06528007,0.2509534,0.023497475,0.0072505884,0.012146426,0.01852351,0.06853142,0.18853608,0.004910383
B32AC8CC6D5D805AC053557AB05F5343,1,0.5939785,26,33,0.049683563061989844,0.02826512,0.021824472,0.023660064,0.035071746,0.044579983,0.044414107,0.03861685,0.035661124,0.03591209,0.038805667,0.038311448,0.03178091,0.023989096,0.01903619,0.01697844,0.01613634,0.014895918,0.012295411,0.010200495,0.008650518,0.008382157,0.00961113,0.01209028,0.013522021,0.010707643,0.009132227,0.054535307,0.07729219,0.059442613,0.02613138,0.016491845,0.013137744,0.054673616,0.09576381
EDFC78B07BA2908B3395C4EB2304665E,1,0.9650566,0,33,0.029411764219677186,0.6870477,0.014909411,0.009543449,0.0077114953,0.004124162,0.0041028527,0.0037239671,0.0036514238,0.003585024,0.00393088,0.0038968492,0.0035552208,0.0030324562,0.0027012755,0.0027145082,0.0030206696,0.0032858583,0.003382701,0.0032028342,0.00290084,0.0029068396,0.003159152,0.003355165,0.0032561752,0.00220404,0.0033019183,0.007036753,0.0033666238,0.003980206,0.0032794047,0.0022626522,0.0035954446,0.026694989,0.15757702
6BCFD78138BC72A9BA1BFB0B79382192,1,0.88415945,28,32,0.1404799483716488,0.008593871,0.00684117,0.0050862003,0.0050985743,0.0063455785,0.0069971783,0.0049418914,0.0041103135,0.004422045,0.005475144,0.005997554,0.006767532,0.005960798,0.006237653,0.0067341216,0.0050042192,0.005764129,0.0053789956,0.020892411,0.009048836,0.00825052,0.0059713437,0.006499492,0.009417969,0.0042107254,0.030361338,0.0072049247,0.019918226,0.11923108,0.043715864,0.058968585,0.35883185,0.12165236,0.07006754
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0.8103759,29,33,0.15335951894521713,0.0022047271,0.0038601875,0.0044602426,0.0052427035,0.007100076,0.00841128,0.004873513,0.008149082,0.00677955,0.0061667063,0.008587906,0.006439978,0.0065602097,0.006635375,0.0055924314,0.007066055,0.01008916,0.008941214,0.012212073,0.020854378,0.011204412,0.0069354745,0.005299418,0.0041696588,0.0075961812,0.003685746,0.00818269,0.0073355082,0.02856646,0.094455376,0.046844654,0.23048568,0.13357355,0.26143834
768309B0EB11FD436CEE5ABFB84F4C0C,1,0.8861871,32,33,0.3023938983678818,0.001136775,0.004634275,0.0029861866,0.0022555778,0.0022522802,0.003228277,0.005149448,0.0055710035,0.004062116,0.004168353,0.0045281574,0.0055715987,0.0048756315,0.00473252,0.0062305764,0.004230336,0.009117009,0.0061174654,0.004610256,0.0030189932,0.0077258777,0.005291666,0.0069754967,0.00598173,0.011847068,0.012066602,0.084445745,0.019011915,0.015169583,0.018409204,0.03182617,0.08798436,0.20336267,0.40142512
D0A186208CE83FBCCF730857C9A75B6F,1,0.9571926,31,32,0.3737620487809181,0.00628191,0.0016322286,0.0015400671,0.0026085586,0.0043863207,0.00348374,0.0055133076,0.008481675,0.0056025814,0.0036850113,0.0049794954,0.003968892,0.0032003538,0.0032607017,0.004809166,0.003823995,0.0037818397,0.003154065,0.0018003476,0.00152651,0.0013951315,0.0012385136,0.0013311581,0.0018488484,0.009771448,0.002606751,0.0054613533,0.004874459,0.008452968,0.005118408,0.014705462,0.1919762,0.5555479,0.118150644
516954F5FF177CE314656D727FCC66A5,1,0.90245295,2,33,0.030477284555672668,0.0050241794,0.019702693,0.27761653,0.009121054,0.0017520647,0.0013756553,0.0014907462,0.0015273044,0.0017833449,0.0020485986,0.0019389843,0.0016904841,0.0015159379,0.0015326331,0.0017089818,0.0020166775,0.002221074,0.0021433453,0.0021135062,0.0021330921,0.0021204816,0.0020987913,0.0020752945,0.0022385314,0.008252059,0.09702019,0.006752995,0.0365587,0.031968325,0.009256033,0.0064302017,0.056574132,0.27618867,0.12200869
C7952FEE130E744EC8CAA7490F72D3F4,1,0.9623053,31,33,0.284955474237601,0.0006849724,0.0016476716,0.0011234622,0.004499093,0.0049049105,0.008868454,0.0030833385,0.001560173,0.0016302805,0.010239425,0.0014296044,0.0009096626,0.00070466474,0.00059529,0.0005874923,0.00069478905,0.0008664272,0.0011181339,0.0012865512,0.0012723395,0.0011554715,0.0010973032,0.0014592174,0.0039246823,0.008485685,0.0043363916,0.004408256,0.033051785,0.024559245,0.005845192,0.009103534,0.6054247,0.07131115,0.17813057
