CONS_NO,FLAG,loc_score,pred_interval_start,pred_interval_end,interval_confidence,att_m01,att_m02,att_m03,att_m04,att_m05,att_m06,att_m07,att_m08,att_m09,att_m10,att_m11,att_m12,att_m13,att_m14,att_m15,att_m16,att_m17,att_m18,att_m19,att_m20,att_m21,att_m22,att_m23,att_m24,att_m25,att_m26,att_m27,att_m28,att_m29,att_m30,att_m31,att_m32,att_m33,att_m34
0387DD8A07E07FDA6271170F86AD9151,1,0.63094735,13,29,0.04228326634449117,0.008220262,0.011052745,0.017375758,0.025994746,0.032099985,0.03500508,0.03606642,0.027029023,0.00842036,0.0016527391,0.0054381224,0.006392178,0.002419803,0.06526065,0.039115187,0.039012313,0.03671994,0.03191551,0.026616283,0.023952885,0.024151232,0.025122015,0.028301202,0.032688737,0.04280463,0.06193612,0.06163734,0.06436998,0.061733015,0.053478498,0.036139496,0.012570564,0.007296084,0.008011045
01D6177B5D4FFE0CABA9EF17DAFC2B84,1,0.79123175,0,14,0.05789286691385011,0.18469591,0.031015027,0.01254177,0.013784134,0.009319551,0.005986463,0.0028664912,0.003850811,0.033113383,0.05425206,0.06210104,0.11436791,0.051281292,0.030897632,0.25831953,0.0132825095,0.0066348426,0.002906882,0.0036524031,0.005719829,0.003460553,0.0027964327,0.0025447393,0.0024111287,0.0014956575,0.004048741,0.006257706,0.028650898,0.0036794243,0.0025905012,0.0049525346,0.013981817,0.0035723918,0.018968076
4B75AC4F2D8434CFF62DB64D0BB43103,1,0.88426095,24,26,0.24804137150446573,0.00045758917,0.00065028475,0.00040203764,0.00060616207,0.0005036787,0.0007949126,0.0009566719,0.00048169767,0.00045544672,0.00039781388,0.00042736123,0.00026217298,0.00070993,0.00021538496,0.00016274469,0.00035880398,0.00015385443,0.00020124651,0.00055745424,0.0009771943,0.0049810894,0.04068725,0.012430826,0.07754741,0.21810517,0.14586905,0.3801499,0.1059517,0.0016866169,0.0004462493,0.0003973456,0.00031316563,0.00078947266,0.00091231964
B32AC8CC6D5D805AC053557AB05F5343,1,0.65197515,24,25,0.0887048989534378,0.009291896,0.013063508,0.019368779,0.026694734,0.033007015,0.036779143,0.04194048,0.040723603,0.036236294,0.03054724,0.028270029,0.029683646,0.032109547,0.039894015,0.038317025,0.03457061,0.03236113,0.03424025,0.03694418,0.038212523,0.038109038,0.04064441,0.04268898,0.048917517,0.07190206,0.10550774,0.007229131,0.0009828875,0.0016766432,0.0017305651,0.0021292253,0.0016709341,0.0026205545,0.0019346848
EDFC78B07BA2908B3395C4EB2304665E,1,0.97057736,0,33,0.029411763123147572,0.7885423,0.0077565024,0.0018400348,0.0013287236,0.00080988335,0.0008788623,0.0009613916,0.0008289947,0.00075692974,0.0007555385,0.0007599524,0.00078249344,0.00080662477,0.00080328045,0.0008205882,0.0008232768,0.0008583606,0.00091374497,0.0009225008,0.0008945389,0.00088922714,0.0009584032,0.0010824711,0.00118586,0.0011271677,0.0014009927,0.00090364274,0.0011179892,0.0008552042,0.000664898,0.00043590876,0.0007118893,0.0011641263,0.17465767
6BCFD78138BC72A9BA1BFB0B79382192,1,0.84387594,20,33,0.06588712577961685,0.0025032465,0.0027855234,0.00030479545,0.0005429627,0.00057275785,0.00078272686,0.00024841877,0.00019879243,0.00025320126,0.0003875444,0.0011173756,0.0017326497,0.0040006973,0.0053471746,0.000358368,0.00062362367,0.0010867718,0.0024342034,0.0044519776,0.04784749,0.1382662,0.27844054,0.19871636,0.042123932,0.0004767223,0.0012929572,0.00014456418,0.00023947112,0.00081923686,0.008986694,0.047046747,0.043703146,0.008398973,0.15376422
34C1954AA3703C4F8BD8EAEA7C4B7B83,1,0.9198899,23,26,0.22623156383633614,0.0003713154,4.239328e-05,0.00011232806,0.00010829241,0.00013806683,0.00013029188,3.53698e-05,4.6356407e-05,4.7615427e-05,0.00013193263,5.823464e-05,5.272101e-05,4.371596e-05,6.369231e-05,0.0001107414,0.00010524215,0.00014199896,0.00045759708,0.0003301771,0.0014433762,0.002280556,0.004842947,0.01915614,0.1448374,0.0984893,0.46349034,0.19810922,0.06364111,8.6264816e-05,0.00038113073,0.00024320824,0.0003785949,4.3389005e-05,4.890328e-05
768309B0EB11FD436CEE5ABFB84F4C0C,1,0.9586321,16,17,0.4785434454679489,0.00014081351,0.00012373108,0.00015406177,0.0001622984,0.00017524323,0.00014555814,0.00013827495,0.00011541895,0.00015349229,0.0001123565,0.00018762542,0.00072400953,0.0010229342,0.0012372241,0.007449344,0.026236448,0.624575,0.33251187,0.0037090417,6.8521476e-05,5.5488686e-05,4.0160485e-05,3.930319e-05,3.3559565e-05,4.3060278e-05,0.00010418863,7.997811e-05,9.64047e-05,9.105964e-05,7.30574e-05,6.870594e-05,7.97452e-05,2.9385401e-05,2.268877e-05
D0A186208CE83FBCCF730857C9A75B6F,1,0.8277155,0,5,0.08884052171682318,0.3827344,0.0015111857,0.0033917797,0.008277018,0.027626146,0.10950261,0.03717332,0.08212974,0.050451983,0.053143173,0.0023747662,0.0013609292,0.000629131,0.0015569894,0.010562229,0.012514696,0.012215981,0.003447457,0.00306598,0.0022793135,0.0021213812,0.0020043713,0.0018008943,0.0020488445,0.031849828,0.007751317,0.008879504,0.036072,0.06724192,0.023313867,0.0067974245,0.0018355049,0.0011946372,0.0011395274
516954F5FF177CE314656D727FCC66A5,1,0.9671047,2,2,0.9013562202453613,0.0077903653,0.06062975,0.9013562,0.017909301,0.0024257463,0.0012374043,0.0010791057,0.00077018444,0.0005390169,0.0003552652,0.00029357578,0.00025921935,0.00023448688,0.00022313117,0.00019743439,0.00017075542,0.00015546747,0.00015625615,0.0001571783,0.00015588272,0.00015557188,0.00016279184,0.0001829913,0.00020807894,0.0003436436,0.0016247744,0.00029165557,0.00012183989,0.00016950144,0.00024037789,0.000119757664,7.379392e-05,0.00011808609,9.143236e-05
